vendor_product_id,product_name,category,subcategory,description,sku,brand,price,compare_at_price,stock_quantity,unit,weight_kg,dimensions_cm,image_url
PROD0012,Casual Dress - Model 817,Women,,"Casual Dress. Features: Midi Length, A-Line, Sleeveless. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0012,StyleWear,51.86,69.99,375,piece,0.85,26x31x28,https://cdn.example.com/products/vend002/wc-vend002-0012.jpg
PROD0013,Blouse - Model 179,Women,,"Blouse. Features: Chiffon, V-Neck, Short Sleeve. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0013,StyleWear,33.23,49.99,123,piece,2.19,33x19x28,https://cdn.example.com/products/vend002/wc-vend002-0013.jpg
PROD0014,Cardigan - Model 515,Women,,"Cardigan. Features: Open Front, Long Sleeve, Pockets. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0014,StyleWear,43.52,,454,piece,0.15,30x35x22,https://cdn.example.com/products/vend002/wc-vend002-0014.jpg
PROD0015,Leggings - Model 644,Women,,"Leggings. Features: High Waist, Stretchy, Opaque. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0015,StyleWear,30.29,39.99,271,piece,2.21,46x40x10,https://cdn.example.com/products/vend002/wc-vend002-0015.jpg
PROD0016,Maxi Skirt - Model 691,Women,,"Maxi Skirt. Features: Flowy, Elastic Waist, Pockets. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0016,StyleWear,36.31,54.99,461,piece,1.56,31x32x16,https://cdn.example.com/products/vend002/wc-vend002-0016.jpg
PROD0017,Tank Top - Model 105,Women,,"Tank Top. Features: Racerback, Fitted, Breathable. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0017,StyleWear,21.34,,385,piece,4.75,41x36x7,https://cdn.example.com/products/vend002/wc-vend002-0017.jpg
PROD0018,Denim Jacket - Model 624,Women,,"Denim Jacket. Features: Classic, Button Front, Pockets. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0018,StyleWear,67.65,,231,piece,1.55,49x17x19,https://cdn.example.com/products/vend002/wc-vend002-0018.jpg
PROD0019,Sports Bra - Model 962,Women,,"Sports Bra. Features: High Support, Removable Pads, Moisture Wicking. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0019,StyleWear,37.01,44.99,434,piece,4.09,26x32x12,https://cdn.example.com/products/vend002/wc-vend002-0019.jpg
PROD0020,Jumpsuit - Model 337,Women,,"Jumpsuit. Features: Sleeveless, Wide Leg, Belted. Brand: StyleWear. Perfect for everyday use.",WC-VEND002-0020,StyleWear,64.37,79.99,314,piece,2.3,25x19x30,https://cdn.example.com/products/vend002/wc-vend002-0020.jpg
PROD0021,Baseball Cap - Model 989,Accessories,,"Baseball Cap. Features: Adjustable, Cotton, Embroidered. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0021,StyleWear,18.6,29.99,412,piece,1.63,25x18x12,https://cdn.example.com/products/vend002/a-vend002-0021.jpg
PROD0022,Leather Belt - Model 206,Accessories,,"Leather Belt. Features: Genuine Leather, Metal Buckle, Classic. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0022,StyleWear,29.66,39.99,346,piece,2.66,35x26x12,https://cdn.example.com/products/vend002/a-vend002-0022.jpg
PROD0023,Scarf - Model 366,Accessories,,"Scarf. Features: Soft, Lightweight, Versatile. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0023,StyleWear,26.91,34.99,384,piece,2.02,21x12x9,https://cdn.example.com/products/vend002/a-vend002-0023.jpg
PROD0024,Sunglasses - Model 380,Accessories,,"Sunglasses. Features: UV Protection, Polarized, Unisex. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0024,StyleWear,36.0,,319,piece,4.12,39x11x17,https://cdn.example.com/products/vend002/a-vend002-0024.jpg
PROD0025,Wrist Watch - Model 668,Accessories,,"Wrist Watch. Features: Analog, Stainless Steel, Water Resistant. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0025,StyleWear,87.89,109.99,75,piece,3.75,38x11x17,https://cdn.example.com/products/vend002/a-vend002-0025.jpg
PROD0026,Backpack - Model 940,Accessories,,"Backpack. Features: Laptop Compartment, Water Resistant, Padded Straps. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0026,StyleWear,52.54,74.99,70,piece,3.61,50x10x11,https://cdn.example.com/products/vend002/a-vend002-0026.jpg
PROD0027,Wallet - Model 926,Accessories,,"Wallet. Features: Leather, RFID Blocking, Bifold. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0027,StyleWear,36.11,44.99,152,piece,5.0,50x27x15,https://cdn.example.com/products/vend002/a-vend002-0027.jpg
PROD0028,Beanie - Model 391,Accessories,,"Beanie. Features: Knit, Warm, Cuffed. Brand: StyleWear. Perfect for everyday use.",A-VEND002-0028,StyleWear,16.18,24.99,82,piece,1.71,17x28x10,https://cdn.example.com/products/vend002/a-vend002-0028.jpg
